t,cx,cy,theta,Fx,Fy,Mz,Cx,Cy,Cm
0.38250,0.579361,0.494766,-0.000205,1.101010e-02,2.777238e-03,-1.707402e-04,-0.0551,-0.0139,0.0021
0.38500,0.579143,0.494715,-0.000225,1.101974e-02,2.678433e-03,-1.730767e-04,-0.0551,-0.0134,0.0022
0.38750,0.578923,0.494663,-0.000246,1.101804e-02,2.574456e-03,-1.746508e-04,-0.0551,-0.0129,0.0022
0.39000,0.578703,0.494611,-0.000268,1.100546e-02,2.465920e-03,-1.756844e-04,-0.0550,-0.0123,0.0022
0.39250,0.578482,0.494559,-0.000290,1.098436e-02,2.354004e-03,-1.760759e-04,-0.0549,-0.0118,0.0022
0.39500,0.578260,0.494507,-0.000313,1.095626e-02,2.239086e-03,-1.759939e-04,-0.0548,-0.0112,0.0022
0.39750,0.578038,0.494455,-0.000337,1.092376e-02,2.123264e-03,-1.752458e-04,-0.0546,-0.0106,0.0022
0.40000,0.577815,0.494403,-0.000361,1.088736e-02,2.006595e-03,-1.739645e-04,-0.0544,-0.0100,0.0022
0.40250,0.577591,0.494351,-0.000387,1.084911e-02,1.889444e-03,-1.720323e-04,-0.0542,-0.0094,0.0022
0.40500,0.577366,0.494299,-0.000413,1.080989e-02,1.772111e-03,-1.694973e-04,-0.0540,-0.0089,0.0021
0.40750,0.577141,0.494247,-0.000440,1.077113e-02,1.655915e-03,-1.663013e-04,-0.0539,-0.0083,0.0021
0.41000,0.576915,0.494194,-0.000467,1.073338e-02,1.540465e-03,-1.625276e-04,-0.0537,-0.0077,0.0020
0.41250,0.576688,0.494142,-0.000496,1.069661e-02,1.426063e-03,-1.580917e-04,-0.0535,-0.0071,0.0020
0.41500,0.576460,0.494090,-0.000525,1.066048e-02,1.312521e-03,-1.532405e-04,-0.0533,-0.0066,0.0019
0.41750,0.576232,0.494037,-0.000555,1.062540e-02,1.199261e-03,-1.476763e-04,-0.0531,-0.0060,0.0018
0.42000,0.576003,0.493985,-0.000586,1.059367e-02,1.086859e-03,-1.415804e-04,-0.0530,-0.0054,0.0018
0.42250,0.575773,0.493932,-0.000618,1.056600e-02,9.748826e-04,-1.346777e-04,-0.0528,-0.0049,0.0017
0.42500,0.575543,0.493879,-0.000650,1.054325e-02,8.619208e-04,-1.272667e-04,-0.0527,-0.0043,0.0016
0.42750,0.575312,0.493827,-0.000684,1.052464e-02,7.477479e-04,-1.192247e-04,-0.0526,-0.0037,0.0015
0.43000,0.575080,0.493774,-0.000718,1.051110e-02,6.321756e-04,-1.111303e-04,-0.0526,-0.0032,0.0014
0.43250,0.574847,0.493721,-0.000753,1.050176e-02,5.151107e-04,-1.029264e-04,-0.0525,-0.0026,0.0013
0.43500,0.574614,0.493669,-0.000789,1.049980e-02,3.971710e-04,-9.504839e-05,-0.0525,-0.0020,0.0012
0.43750,0.574380,0.493616,-0.000825,1.050499e-02,2.748562e-04,-8.718212e-05,-0.0525,-0.0014,0.0011
0.44000,0.574145,0.493563,-0.000863,1.051990e-02,1.529707e-04,-8.004196e-05,-0.0526,-0.0008,0.0010
0.44250,0.573910,0.493510,-0.000901,1.054519e-02,3.176510e-05,-7.333027e-05,-0.0527,-0.0002,0.0009
0.44500,0.573674,0.493457,-0.000940,1.058046e-02,-8.771069e-05,-6.733899e-05,-0.0529,0.0004,0.0008
0.44750,0.573437,0.493404,-0.000980,1.062731e-02,-2.057922e-04,-6.203787e-05,-0.0531,0.0010,0.0008
0.45000,0.573200,0.493351,-0.001021,1.068393e-02,-3.241154e-04,-5.753268e-05,-0.0534,0.0016,0.0007
0.45250,0.572962,0.493298,-0.001063,1.075009e-02,-4.420603e-04,-5.385489e-05,-0.0538,0.0022,0.0007
0.45500,0.572723,0.493245,-0.001105,1.082433e-02,-5.580601e-04,-5.059629e-05,-0.0541,0.0028,0.0006
0.45750,0.572484,0.493192,-0.001149,1.090699e-02,-6.736348e-04,-4.785481e-05,-0.0545,0.0034,0.0006
0.46000,0.572244,0.493139,-0.001193,1.099572e-02,-7.855596e-04,-4.502891e-05,-0.0550,0.0039,0.0006
0.46250,0.572003,0.493086,-0.001238,1.108943e-02,-8.951234e-04,-4.244963e-05,-0.0554,0.0045,0.0005
0.46500,0.571761,0.493033,-0.001284,1.118695e-02,-1.000851e-03,-3.967210e-05,-0.0559,0.0050,0.0005
0.46750,0.571519,0.492979,-0.001331,1.128821e-02,-1.102706e-03,-3.710625e-05,-0.0564,0.0055,0.0005
0.47000,0.571277,0.492926,-0.001379,1.139316e-02,-1.199952e-03,-3.432115e-05,-0.0570,0.0060,0.0004
0.47250,0.571033,0.492873,-0.001428,1.150106e-02,-1.294524e-03,-3.155656e-05,-0.0575,0.0065,0.0004
0.47500,0.570790,0.492820,-0.001478,1.161377e-02,-1.385744e-03,-2.866176e-05,-0.0581,0.0069,0.0004
0.47750,0.570545,0.492766,-0.001528,1.172807e-02,-1.474313e-03,-2.566919e-05,-0.0586,0.0074,0.0003
0.48000,0.570300,0.492713,-0.001580,1.184464e-02,-1.559593e-03,-2.252263e-05,-0.0592,0.0078,0.0003
0.48250,0.570054,0.492660,-0.001633,1.196275e-02,-1.643092e-03,-1.926943e-05,-0.0598,0.0082,0.0002
0.48500,0.569808,0.492606,-0.001686,1.208345e-02,-1.724910e-03,-1.586405e-05,-0.0604,0.0086,0.0002
0.48750,0.569561,0.492553,-0.001741,1.220846e-02,-1.806429e-03,-1.229805e-05,-0.0610,0.0090,0.0002
0.49000,0.569313,0.492500,-0.001796,1.233723e-02,-1.887248e-03,-8.610973e-06,-0.0617,0.0094,0.0001
0.49250,0.569065,0.492446,-0.001853,1.246980e-02,-1.968464e-03,-4.859458e-06,-0.0623,0.0098,0.0001
0.49500,0.568816,0.492393,-0.001910,1.260931e-02,-2.047806e-03,-9.145647e-07,-0.0630,0.0102,0.0000
0.49750,0.568567,0.492340,-0.001968,1.275569e-02,-2.125074e-03,3.397259e-06,-0.0638,0.0106,-0.0000
0.50000,0.568317,0.492286,-0.002028,1.290714e-02,-2.201195e-03,7.949109e-06,-0.0645,0.0110,-0.0001
0.50250,0.568066,0.492233,-0.002088,1.306344e-02,-2.276254e-03,1.276636e-05,-0.0653,0.0114,-0.0002
0.50500,0.567815,0.492180,-0.002150,1.322511e-02,-2.351946e-03,1.763008e-05,-0.0661,0.0118,-0.0002
0.50750,0.567563,0.492126,-0.002212,1.339176e-02,-2.428904e-03,2.251874e-05,-0.0670,0.0121,-0.0003
0.51000,0.567311,0.492073,-0.002276,1.356373e-02,-2.504825e-03,2.721248e-05,-0.0678,0.0125,-0.0003
0.51250,0.567058,0.492020,-0.002340,1.374103e-02,-2.577704e-03,3.109437e-05,-0.0687,0.0129,-0.0004
0.51500,0.566805,0.491966,-0.002406,1.392619e-02,-2.643382e-03,3.357376e-05,-0.0696,0.0132,-0.0004
0.51750,0.566551,0.491913,-0.002472,1.411409e-02,-2.702313e-03,3.473238e-05,-0.0706,0.0135,-0.0004
0.52000,0.566297,0.491860,-0.002540,1.430360e-02,-2.753423e-03,3.456098e-05,-0.0715,0.0138,-0.0004
0.52250,0.566042,0.491807,-0.002608,1.449402e-02,-2.796262e-03,3.302815e-05,-0.0725,0.0140,-0.0004
0.52500,0.565786,0.491753,-0.002678,1.468590e-02,-2.830885e-03,3.001825e-05,-0.0734,0.0142,-0.0004
0.52750,0.565530,0.491700,-0.002749,1.487538e-02,-2.858795e-03,2.600923e-05,-0.0744,0.0143,-0.0003
0.53000,0.565274,0.491647,-0.002821,1.506243e-02,-2.880566e-03,2.089479e-05,-0.0753,0.0144,-0.0003
0.53250,0.565017,0.491594,-0.002894,1.524561e-02,-2.891918e-03,1.557413e-05,-0.0762,0.0145,-0.0002
0.53500,0.564759,0.491541,-0.002968,1.542517e-02,-2.892607e-03,1.007805e-05,-0.0771,0.0145,-0.0001
0.53750,0.564501,0.491488,-0.003043,1.559732e-02,-2.886188e-03,4.666672e-06,-0.0780,0.0144,-0.0001
0.54000,0.564243,0.491435,-0.003119,1.576371e-02,-2.872363e-03,-6.666515e-07,-0.0788,0.0144,0.0000
0.54250,0.563984,0.491382,-0.003197,1.592569e-02,-2.849012e-03,-5.518602e-06,-0.0796,0.0142,0.0001
0.54500,0.563724,0.491329,-0.003276,1.608464e-02,-2.816359e-03,-1.015958e-05,-0.0804,0.0141,0.0001
0.54750,0.563464,0.491276,-0.003355,1.623979e-02,-2.774073e-03,-1.411504e-05,-0.0812,0.0139,0.0002
0.55000,0.563204,0.491223,-0.003437,1.639099e-02,-2.722189e-03,-1.774628e-05,-0.0820,0.0136,0.0002
0.55250,0.562943,0.491170,-0.003519,1.653752e-02,-2.664128e-03,-2.073125e-05,-0.0827,0.0133,0.0003
0.55500,0.562682,0.491118,-0.003602,1.668306e-02,-2.598240e-03,-2.349364e-05,-0.0834,0.0130,0.0003
