step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
28,0.0069999999999999958,0.0016855663535735924,0.0016855663535597643,-0.045342667133624524,0.0016855663535735924,0.00071690490604776934,2.4826991664123114e-11
29,0.0072499999999999952,0.0018772448106671329,0.001877244810666312,-0.050648885545519148,0.0018772448106671329,0.00076671382876669636,2.5633881859017658e-11
30,0.0074999999999999945,0.0020819214103116675,0.0020819214103018346,-0.056260354233823431,0.0020819214103116675,0.00082502969575613133,2.6429831305765173e-11
31,0.0077499999999999947,0.0023004572638859371,0.0023004572638152254,-0.062212066545881239,0.0023004572638859371,0.00089158910745498678,2.7214838159396628e-11
32,0.0079999999999999932,0.0025338670971740643,0.0025338670969432542,-0.068568437821994205,0.0025338670971740643,0.00096355340027678147,2.7988907685054744e-11
33,0.0082499999999999934,0.0027831107927863037,0.0027831107922260401,-0.075401232863111609,0.0027831107927863037,0.0010400947342447738,2.8752041534984282e-11
34,0.0084999999999999937,0.0030489232614862995,0.0030489232603292393,-0.082764121244465055,0.0030489232614862995,0.0011194544327619172,2.950423969638019e-11
35,0.0087499999999999922,0.0033317478948277782,0.0033317478926764288,-0.090674779188431268,0.0033317478948277782,0.0011996685026340521,3.0245504716349734e-11
36,0.0089999999999999924,0.003631791739489596,0.003631791735780876,-0.099112261531030435,0.003631791739489596,0.0012793663527887829,3.0975836626763332e-11
37,0.0092499999999999909,0.0039491671039714096,0.0039491670979385773,-0.10803079477849246,0.0039491671039714096,0.0013582969860759843,3.1695239641521982e-11
38,0.0094999999999999928,0.0042840479864007779,0.0042840479770323014,-0.11738403229131444,0.0042840479864007779,0.0014373575340671442,3.240372277812377e-11
39,0.0097499999999999913,0.0046367661246061332,0.0046367661105994884,-0.12714926374475644,0.0046367661246061332,0.0015181175895585294,3.3101291431275204e-11
40,0.0099999999999999915,0.0050078017587144724,0.0050078017384214135,-0.13734107904452034,0.0050078017587144724,0.0016020542155557489,3.3787956871503273e-11
41,0.01024999999999999,0.005421441134414038,0.0054214411338238122,-0.14800857192717778,0.005421441134414038,0.001689837864035193,3.4463724968296469e-11
42,0.01049999999999999,0.0058666883681378302,0.0058666883678393233,-0.1592173307971767,0.0058666883681378302,0.0017809889397317087,3.5128598686076962e-11
