step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
28,0.0069999999999999958,0.0016855689037686512,0.0016855689034867005,-0.045343270349476793,0.0016855689037686512,0.00071690270030774653,2.4826001612091001e-11
29,0.0072499999999999952,0.001877246544055286,0.0018772465435801244,-0.050649682356675517,0.001877246544055286,0.00076671056173103483,2.5632695479239506e-11
30,0.0074999999999999945,0.0020819220992943713,0.0020819220985179854,-0.056261393483467301,0.0020819220992943713,0.00082509112306891868,2.6428412722750295e-11
31,0.0077499999999999947,0.0023004567186198041,0.0023004567173856572,-0.062213408113777915,0.0023004567186198041,0.00089166560983619243,2.7213152711161503e-11
32,0.0079999999999999932,0.0025338651493176053,0.0025338651474027252,-0.068570154758909679,0.0025338651493176053,0.00096364760649474818,2.7986917098966159e-11
33,0.0082499999999999934,0.0027831072809456356,0.0027831072780371002,-0.075403412916759824,0.0027831072809456356,0.00104020934933543,2.874970425081748e-11
34,0.0084999999999999937,0.0030489180335820649,0.0030489180292470053,-0.082766867466733562,0.0030489180335820649,0.0011195922031841748,2.9501513838385268e-11
35,0.0087499999999999922,0.0033317408472019641,0.0033317408408506388,-0.090678209249896877,0.0033317408472019641,0.0011998322523387988,3.0242345838765536e-11
36,0.0089999999999999924,0.0036317828978493318,0.0036317828886911485,-0.099116506305373983,0.0036317828978493318,0.0012795590686948872,3.0972195370410139e-11
37,0.0092499999999999909,0.0039491567329479156,0.0039491567199401167,-0.10803599710099393,0.0039491567329479156,0.0013585219171964871,3.1691062084140917e-11
