step,time_s,plate_max_displacement_mm,plate_max_axial_displacement_mm,plate_force_x_N,max_marker_displacement_mm,max_speed,max_divergence
18,0.0045000000000000005,0.00051660673056331283,0.00051660673056064255,-0.013693965783581716,0.00051660673056331283,0.00030880873707605616,7.4330643725221199e-11
19,0.0047499999999999999,0.00059454138730551424,0.0005945413872887606,-0.015961183500983207,0.00059454138730551424,0.00034313807111708503,9.4457067737792848e-11
20,0.0050000000000000001,0.0006898498648221608,0.0006898498647989193,-0.018425307592764083,0.0006898498648221608,0.00038123391011408964,1.1375250154321372e-10
21,0.0052499999999999995,0.00079572664250746787,0.00079572664247740121,-0.021139319386877957,0.00079572664250746787,0.0004235071107218097,1.3133507309076943e-10
22,0.0054999999999999988,0.00091312273003124101,0.00091312272999521937,-0.024173128439756348,0.00091312273003124101,0.00046958435015599328,1.5840929824214898e-10
23,0.0057499999999999982,0.0010427153795129443,0.0010427153794734245,-0.027591235539356655,0.0010427153795129443,0.00051837059798558627,9.8901482726204353e-11
24,0.0059999999999999975,0.001184819179406165,0.0011848191793673024,-0.03143150164633142,0.001184819179406165,0.00056841519963889782,2.5029786396033675e-10
25,0.0062499999999999977,0.0013394304430919808,0.0013394304430591752,-0.035694376155175511,0.0013394304430919808,0.00061844505473746751,3.0212829147323142e-10
26,0.0064999999999999971,0.0015063928461171172,0.001506392846095661,-0.040347652221018299,0.0015063928461171172,0.00066784961221550982,3.70512474165794e-10
27,0.0067499999999999965,0.0016856222649764261,0.0016856222649686003,-0.045345158201696593,0.0016856222649764261,0.00071691767552755552,2.0393191516380248e-10
28,0.0069999999999999958,0.0018773035202701623,0.0018773035202701571,-0.050651673188524114,0.0018773035202701623,0.00076672502142839021,2.5161731024569396e-10
29,0.0072499999999999952,0.0020819835978047783,0.0020819835977903267,-0.056263465423220721,0.0020819835978047783,0.00082510776408682284,1.5158035618624103e-11
30,0.0074999999999999945,0.0023005236784360062,0.0023005236783557592,-0.062215570079598277,0.0023005236784360062,0.00089168190076201442,6.3082905122106457e-11
31,0.0077499999999999947,0.0025339383149513188,0.0025339383147082728,-0.068572424066825385,0.0025339383149513188,0.00096366236748976085,2.6852898079895284e-11
32,0.0079999999999999932,0.0027831870193541675,0.0027831870187844387,-0.075405803386444925,0.0027831870193541675,0.0010402205441829571,3.0125527182863963e-13
33,0.0082499999999999934,0.0030490042227198674,0.0030490042215669533,-0.082769375676760196,0.0030490042227198674,0.0011195973173690019,3.3161963595448709e-13
34,0.0084999999999999937,0.0033318328348464665,0.0033318328327314184,-0.090680807003529734,0.0033318328348464665,0.0011998284583739009,3.4461491233660557e-13
35,0.0087499999999999922,0.0036318798063120911,0.0036318798027012988,-0.099119139292534658,0.0036318798063120911,0.001279544721520543,3.3683915329918834e-13
36,0.0089999999999999924,0.0039492576984302419,0.0039492576926036804,-0.10803859517783035,0.0039492576984302419,0.0013584966442652714,7.9608297078583621e-11
37,0.0092499999999999909,0.0042841409479532104,0.0042841409389704488,-0.11739283931726743,0.0042841409479532104,0.0014375821897623005,1.1479863511845198e-10
38,0.0094999999999999928,0.0046368618008269516,0.0046368617874992246,-0.12715918865430201,0.0046368618008269516,0.0015183714138882031,4.8146339325889886e-13
39,0.0097499999999999913,0.0050079005486124029,0.0050079005294634271,-0.13735227038454079,0.0050079005486124029,0.0016023399069116642,5.6213108422886113e-13
40,0.0099999999999999915,0.0054221077264349207,0.0054221077261717987,-0.14802121251614384,0.0054221077264349207,0.0016901578383384849,1.5218850764539324e-10
41,0.01024999999999999,0.0058674436491373185,0.0058674436490768755,-0.15923163882189703,0.0058674436491373185,0.0017813436960724203,7.5461356567064861e-13
